code,code_description,code_type,section,section_text,subsection,subsection_text,subheading,subheading_text,topic,topic_text,code_version
99441,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an established patient, parent, or guardian not originating from a related E/M service provided within the previous 7 days nor leading to an E/M service or procedure within the next 24 hours or soonest available appointment; 5-10 minutes of medical discussion",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Telephone services are non-face-to-face evaluation and management (E/M) services provided to a patient using the telephone by a physician or other qualified health care professional, who may report evaluation and management services. These codes are used to report episodes of patient care initiated by an established patient or guardian of an established patient.",Telephone Services,"Telephone services are non-face-to-face evaluation and management (E/M) services provided to a patient using the telephone by a physician or other qualified health care professional, who may report evaluation and management services.",Telephone Services,,CPT 2024 AMA
99442,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an established patient, parent, or guardian not originating from a related E/M service provided within the previous 7 days nor leading to an E/M service or procedure within the next 24 hours or soonest available appointment; 11-20 minutes of medical discussion",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Telephone services are non-face-to-face evaluation and management (E/M) services provided to a patient using the telephone by a physician or other qualified health care professional, who may report evaluation and management services. These codes are used to report episodes of patient care initiated by an established patient or guardian of an established patient.",Telephone Services,"Telephone services are non-face-to-face evaluation and management (E/M) services provided to a patient using the telephone by a physician or other qualified health care professional, who may report evaluation and management services.",Telephone Services,,CPT 2024 AMA
99443,"Telephone evaluation and management service by a physician or other qualified health care professional who may report evaluation and management services provided to an established patient, parent, or guardian not originating from a related E/M service provided within the previous 7 days nor leading to an E/M service or procedure within the next 24 hours or soonest available appointment; 21-30 minutes of medical discussion",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Telephone services are non-face-to-face evaluation and management (E/M) services provided to a patient using the telephone by a physician or other qualified health care professional, who may report evaluation and management services. These codes are used to report episodes of patient care initiated by an established patient or guardian of an established patient.",Telephone Services,"Telephone services are non-face-to-face evaluation and management (E/M) services provided to a patient using the telephone by a physician or other qualified health care professional, who may report evaluation and management services.",Telephone Services,,CPT 2024 AMA
99421,"Online digital evaluation and management service, for an established patient, for up to 7 days, cumulative time during the 7 days; 5-10 minutes",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Online digital evaluation and management (E/M) services (99421, 99422, 99423) are patient-initiated services with physicians or other qualified health care professionals (QHPs).",Online Digital Evaluation and Management Services,"Online digital evaluation and management (E/M) services (99421, 99422, 99423) are patient-initiated services with physicians or other qualified health care professionals (QHPs). Online digital E/M services require physician or other QHP’s evaluation, assessment, and management of the patient.",Online Digital Evaluation and Management Services,,CPT 2024 AMA
99422,"Online digital evaluation and management service, for an established patient, for up to 7 days, cumulative time during the 7 days; 11-20 minutes",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Online digital evaluation and management (E/M) services (99421, 99422, 99423) are patient-initiated services with physicians or other qualified health care professionals (QHPs).",Online Digital Evaluation and Management Services,"Online digital evaluation and management (E/M) services (99421, 99422, 99423) are patient-initiated services with physicians or other qualified health care professionals (QHPs). Online digital E/M services require physician or other QHP’s evaluation, assessment, and management of the patient.",Online Digital Evaluation and Management Services,,CPT 2024 AMA
99423,"Online digital evaluation and management service, for an established patient, for up to 7 days, cumulative time during the 7 days; 21 or more minutes",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"Online digital evaluation and management (E/M) services (99421, 99422, 99423) are patient-initiated services with physicians or other qualified health care professionals (QHPs).",Online Digital Evaluation and Management Services,"Online digital evaluation and management (E/M) services (99421, 99422, 99423) are patient-initiated services with physicians or other qualified health care professionals (QHPs). Online digital E/M services require physician or other QHP’s evaluation, assessment, and management of the patient.",Online Digital Evaluation and Management Services,,CPT 2024 AMA
99446,"Interprofessional telephone/Internet/electronic health record assessment and management service provided by a consultative physician or other qualified health care professional, including a verbal and written report to the patient’s treating/requesting physician or other qualified health care professional; 5-10 minutes of medical consultative discussion and review",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations.",Interprofessional Telephone/Internet/Electronic Health Record Consultations,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations. An interprofessional telephone/Internet/electronic health record consultation is an assessment and management service in which a patient’s treating (eg, attending or primary) physician or other qualified health care professional requests the opinion and/or treatment advice of a physician or other qualified health care professional with specific specialty expertise (the consultant)...",Interprofessional Telephone/Internet/Electronic Health Record Consultations,,CPT 2024 AMA
99447,"Interprofessional telephone/Internet/electronic health record assessment and management service provided by a consultative physician or other qualified health care professional, including a verbal and written report to the patient’s treating/requesting physician or other qualified health care professional; 11-20 minutes of medical consultative discussion and review",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations.",Interprofessional Telephone/Internet/Electronic Health Record Consultations,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations. An interprofessional telephone/Internet/electronic health record consultation is an assessment and management service in which a patient’s treating (eg, attending or primary) physician or other qualified health care professional requests the opinion and/or treatment advice of a physician or other qualified health care professional with specific specialty expertise (the consultant)...",Interprofessional Telephone/Internet/Electronic Health Record Consultations,,CPT 2024 AMA
99448,"Interprofessional telephone/Internet/electronic health record assessment and management service provided by a consultative physician or other qualified health care professional, including a verbal and written report to the patient’s treating/requesting physician or other qualified health care professional; 21-30 minutes of medical consultative discussion and review",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations.",Interprofessional Telephone/Internet/Electronic Health Record Consultations,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations. An interprofessional telephone/Internet/electronic health record consultation is an assessment and management service in which a patient’s treating (eg, attending or primary) physician or other qualified health care professional requests the opinion and/or treatment advice of a physician or other qualified health care professional with specific specialty expertise (the consultant)...",Interprofessional Telephone/Internet/Electronic Health Record Consultations,,CPT 2024 AMA
99449,"Interprofessional telephone/Internet/electronic health record assessment and management service provided by a consultative physician or other qualified health care professional, including a verbal and written report to the patient’s treating/requesting physician or other qualified health care professional; 31 minutes or more of medical consultative discussion and review",CPT,Evaluation and Management,Non-Face-to-Face Services,Non-Face-to-Face Services,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations.",Interprofessional Telephone/Internet/Electronic Health Record Consultations,"The consultant should use codes 99446, 99447, 99448, 99449, 99451 to report interprofessional telephone/Internet/electronic health record consultations. An interprofessional telephone/Internet/electronic health record consultation is an assessment and management service in which a patient’s treating (eg, attending or primary) physician or other qualified health care professional requests the opinion and/or treatment advice of a physician or other qualified health care professional with specific specialty expertise (the consultant)...",Interprofessional Telephone/Internet/Electronic Health Record Consultations,,CPT 2024 AMA
